"timestamp","id device","error","num of message","previous timestamp difference","previous timestamp difference for this device"
"2604411020","00440121","0","5","6999632",""
"2611410636","00440121","0","6","6999616",""
"2618411244","00440121","0","7","7000608",""
"2625411876","00440121","0","8","7000632",""
"2632411492","00440121","0","9","6999616",""
"2639412100","00440121","0","10","7000608",""
"2646412732","00440121","0","11","7000632",""
"2653412364","00440121","0","12","6999632",""
"2660411996","00440121","0","13","6999632",""
"2667411612","00440121","0","14","6999616",""
"2674411260","00440121","0","15","6999648",""
"2679003788","","1","","4592528",""
"2681410884","00440121","0","16","2407096","6999624.0"
"2688411492","00440121","0","17","7000608",""
"2695412116","00440121","0","18","7000624",""
"2702411756","00440121","0","19","6999640",""
"2709411372","00440121","0","20","6999616",""
"2716411996","00440121","0","21","7000624",""
"2723411612","00440121","0","22","6999616",""
"2730412244","00440121","0","23","7000632",""
"2737410892","00440121","0","24","6998648",""
"2819136980","00680138","0","0","81726088",""
"2823142652","00680138","0","1","4005672",""
"2830142276","00680138","0","2","6999624",""
"2832072916","00440121","0","0","1930640","31554008.0"
"2836078572","","1","","4005656",""
"2843078220","","1","","6999648",""
"2850077836","","1","","6999616",""
"2852696340","0169082D","0","0","2618504","9197526.545454545"
"2856702020","0169082D","0","1","4005680",""
"2863701684","0169082D","0","2","6999664",""
"2870701364","","1","","6999680",""
"2877701036","","1","","6999672",""
"2883336412","0063013D","0","0","5635376","7041231.925925926"
"2887342108","0063013D","0","1","4005696",""
"2891700420","","1","","4358312",""
"2894341804","0063013D","0","2","2641384","6999696.0"
"2898700092","0169082D","0","7","4358288","5833068.0"
"2901341508","0063013D","0","3","2641416","6999704.0"
"2905699772","","1","","4358264",""
"2908341212","0063013D","0","4","2641440","6999704.0"
"2912699452","0169082D","0","9","4358240","4666453.333333333"
"2915340916","0063013D","0","5","2641464","6999704.0"
"2919699132","","1","","4358216",""
"2922340620","0063013D","0","6","2641488","6999704.0"
"2926698820","","1","","4358200",""
"2929340316","0063013D","0","7","2641496","6999696.0"
"2933698492","","1","","4358176",""
"2936340028","0063013D","0","8","2641536","6999712.0"
"2940698180","","1","","4358152",""
"2943339732","0063013D","0","9","2641552","6999704.0"
"2947697852","","1","","4358120",""
"2950339428","0063013D","0","10","2641576","6999696.0"
"2954697532","0169082D","0","15","4358104","3818007.272727273"
"2957339132","0063013D","0","11","2641600","6999704.0"
"2961697212","0169082D","0","16","4358080","6999680.0"
"2964338836","0063013D","0","12","2641624","6999704.0"
"2968696900","0169082D","0","17","4358064","6999688.0"
"2971338532","0063013D","0","13","2641632","6999696.0"
"2975696580","0169082D","0","18","4358048","6999680.0"
"2978338236","0063013D","0","14","2641656","6999704.0"
"2982696260","0169082D","0","19","4358024","6999680.0"
"2985337940","0063013D","0","15","2641680","6999704.0"
"2989695940","0169082D","0","20","4358000","6999680.0"
"2992337644","0063013D","0","16","2641704","6999704.0"
"2996695628","0169082D","0","21","4357984","6999688.0"
"2999337356","0063013D","0","17","2641728","6999712.0"
"3003695308","0169082D","0","22","4357952","6999680.0"
"3006337052","0063013D","0","18","2641744","6999696.0"
"3010694980","0169082D","0","23","4357928","6999672.0"
"3013336748","0063013D","0","19","2641768","6999696.0"
"3017694668","0169082D","0","24","4357920","6999688.0"
"3020336452","0063013D","0","20","2641784","6999704.0"
"3024694348","0169082D","0","25","4357896","6999680.0"
"3027336164","0063013D","0","21","2641816","6999712.0"
"3031694028","0169082D","0","26","4357864","6999680.0"
"3034335860","0063013D","0","22","2641832","6999696.0"
"3038693708","","1","","4357848",""
"3041335572","0063013D","0","23","2641864","6999712.0"
"3045693388","0169082D","0","28","4357816","4666453.333333333"
"3048335268","0063013D","0","24","2641880","6999696.0"
"3052693068","","1","","4357800",""
"3059692748","0169082D","0","30","6999680","6999680.0"
"3062334684","0063013D","0","26","2641936","6999708.0"
"3066692428","0169082D","0","31","4357744","6999680.0"
"3069334380","0063013D","0","27","2641952","6999696.0"
"3073692116","0169082D","0","32","4357736","6999688.0"
"3076334084","0063013D","0","28","2641968","6999704.0"
"3080691796","0169082D","0","33","4357712","6999680.0"
"3083333780","0063013D","0","29","2641984","6999696.0"
"3087691476","","1","","4357696",""
"3090333492","0063013D","0","30","2642016","6999712.0"
"3094691156","0169082D","0","35","4357664","4666453.333333333"
"3097333196","0063013D","0","31","2642040","6999704.0"
"3101690836","","1","","4357640",""
"3104332892","0063013D","0","32","2642056","6999696.0"
"3108690516","0169082D","0","37","4357624","4666453.333333333"
"3111332596","0063013D","0","33","2642080","6999704.0"
"3115690188","0169082D","0","38","4357592","6999672.0"
"3118332308","0063013D","0","34","2642120","6999712.0"
"3122689876","0169082D","0","39","4357568","6999688.0"
"3125332004","0063013D","0","35","2642128","6999696.0"
"3129689556","0169082D","0","40","4357552","6999680.0"
"3132331708","0063013D","0","36","2642152","6999704.0"
"3136689236","0169082D","0","41","4357528","6999680.0"
"3139331404","0063013D","0","37","2642168","6999696.0"
"3143688916","0169082D","0","42","4357512","6999680.0"
"3146331108","0063013D","0","38","2642192","6999704.0"
"3150688596","0169082D","0","43","4357488","6999680.0"
"3153330820","0063013D","0","39","2642224","6999712.0"
"3157688276","","1","","4357456",""
"3160329548","0063013D","0","40","2641272","6998728.0"
"3164687956","","1","","4358408",""
"3171687636","0169082D","0","46","6999680","5249760.0"
"3178687324","0169082D","0","47","6999688",""
"3183073883","","1","","4386559",""
"3185686996","0169082D","0","48","2613113","6999672.0"
"3192686684","0169082D","0","49","6999688",""
"3199686364","0169082D","0","50","6999680",""
"3206686044","0169082D","0","51","6999680",""
"3213685724","0169082D","0","52","6999680",""
"3220685404","0169082D","0","53","6999680",""
"3227685084","0169082D","0","54","6999680",""
"3234684764","0169082D","0","55","6999680",""
"3241684444","0169082D","0","56","6999680",""
"3248684124","0169082D","0","57","6999680",""
"3255683804","0169082D","0","58","6999680",""
"3262683492","0169082D","0","59","6999688",""
"3269683172","0169082D","0","60","6999680",""
"3276682844","0169082D","0","61","6999672",""
"3283682508","","1","","6999664",""
"3290682212","0169082D","0","63","6999704","13999368.0"
"3297681892","0169082D","0","64","6999680",""
"3304681588","","1","","6999696",""
"3312083940","","1","","7402352",""
"3319083596","00440121","0","70","6999656","4427369.818181818"
"3326083220","00440121","0","71","6999624",""
"3333082860","00440121","0","72","6999640",""
"3340082492","00440121","0","73","6999632",""
"3347082124","00440121","0","74","6999632",""
"3354081756","00440121","0","75","6999632",""
"3361081380","00440121","0","76","6999624",""
"3368082004","00440121","0","77","7000624",""
"3375081644","00440121","0","78","6999640",""
"3382081276","00440121","0","79","6999632",""
"3389081860","","1","","7000584",""
"3396081508","","1","","6999648",""
"3403081132","","1","","6999624",""
"3410081756","","1","","7000624",""
"3417081388","","1","","6999632",""
"3424081028","","1","","6999640",""
"3431080660","","1","","6999632",""
"3438080308","","1","","6999648",""
"3445080908","","1","","7000600",""
"3452080548","","1","","6999640",""
"3459081148","00440121","0","90","7000600","7699987.2"
"3466080780","00440121","0","91","6999632",""
"3473080428","00440121","0","92","6999648",""
"3480080060","00440121","0","93","6999632",""
"3487080644","00440121","0","94","7000584",""
